station_name,country,continent,latitude,longitude,altitude,provider
izaña,Spain,Europe,28.309,-16.499,2373.0,bsrn
sonnblick,Austria,Europe,47.054,12.958,3109.0,bsrn
syowa,Antartic,Antartic,-69.005,39.589,18.0,bsrn
boulder,United States of America,North America,40.125,-105.237,1689.0,bsrn
desert_rock,United States of America,North America,36.626,-116.018,1007.0,bsrn
de_aar,South Africa,Africa,-30.667,23.993,1287.0,bsrn
rock_springs,United States of America,North America,40.72,-77.933,376.0,bsrn
bondville,United States of America,North America,40.067,-88.367,213.0,bsrn
cocos_island,Australia,Oceania,-12.193,96.835,6.0,bsrn
granite_island,United States of America,North America,46.721,-87.411,208.0,bsrn
camborne,United Kingdom,Europe,50.217,-5.317,88.0,bsrn
tamanrasset,Algeria,Africa,22.79,5.529,1385.0,bsrn
langley_research_center,United States of America,North America,37.104,-76.387,3.0,bsrn
sioux_falls,United States of America,North America,43.73,-96.62,473.0,bsrn
southern_great_plains,United States of America,North America,36.605,-97.485,318.0,bsrn
billings,United States of America,North America,36.605,-97.516,317.0,bsrn
gobabeb,Namibia,Africa,-23.561,15.042,407.0,bsrn
observatory_of_huancayo,Peru,South America,-12.05,-75.32,3314.0,bsrn
goodwin_creek,United States of America,North America,34.255,-89.873,98.0,bsrn
carpentras,France,Europe,44.083,5.059,100.0,bsrn
budapest_lorinc,Hungary,Europe,47.429,19.182,139.0,bsrn
magurele_mars,Romania,Europe,44.344,26.012,110.0,bsrn
cabauw,Netherlands,Europe,51.971,4.927,0.0,bsrn
fort_peck,United States of America,North America,48.317,-105.1,634.0,bsrn
lindenberg,Germany,Europe,52.21,14.122,125.0,bsrn
cener,Spain,Europe,42.816,-1.601,471.0,bsrn
eastern_north_atlantic,Portugal,Europe,39.091,-28.029,15.0,bsrn
abashiri,Japan,Asia,44.018,144.28,38.0,bsrn
payerne,Switzerland,Europe,46.815,6.944,491.0,bsrn
minamitorishima,Japan,Asia,24.288,153.983,7.0,bsrn
lerwick,United Kingdom,Europe,60.139,-1.185,80.0,bsrn
toravere,Estonia,Europe,58.254,26.462,70.0,bsrn
tateno,Japan,Asia,36.058,140.126,25.0,bsrn
brasilia,Brazil,South America,-15.601,-47.713,1023.0,bsrn
ishigakijima,Japan,Asia,24.337,124.164,6.0,bsrn
bermuda,Bermuda,North America,32.301,-64.766,8.0,bsrn
fukuoka,Japan,Asia,33.582,130.376,3.0,bsrn
petrolina,Brazil,South America,-9.068,-40.319,387.0,bsrn
paramaribo,Suriname,South America,5.806,-55.215,4.0,bsrn
arcen,Germany,Europe,51.497,6.196,20.0,knmi
berkhout,Netherlands,Europe,52.643,4.979,-2.0,knmi
bonaire,Netherlands,Europe,12.13,-68.276,7.0,knmi
de_bilt,Netherlands,Europe,52.099,5.18,2.0,knmi
de_kooy_waarneemterrein,Netherlands,Europe,52.927,4.781,1.0,knmi
deelen_locatie_a,Netherlands,Europe,52.055,5.872,48.0,knmi
eelde_locatie_23t,Netherlands,Europe,53.124,6.585,5.0,knmi
